,dt,value,return,daily_return,weekly_return,monthly_return
0,2022-06-03 07:41:00,10000.0,,0.0,0.0,0.0
1,2022-06-03 07:41:01,10190.399915,0.019039991499999995,0.019039991499999995,0.019039991499999995,0.019039991499999995
2,2022-06-06 12:56:31,10094.434998,-0.009417188510800397,0.0,0.0,0.009443499800000064
3,2022-06-06 13:06:40,10284.005491,0.0187797031768057,0.0187797031768057,0.0187797031768057,0.028400549099999988
4,2022-06-06 14:29:38,10286.633568,0.0002555499413433164,0.019040052270194296,0.019040052270194296,0.02866335679999993
5,2022-06-07 07:33:59,10873.073395,0.05700988794082416,0.0,0.07713541145732966,0.08730733949999994
6,2022-06-07 07:46:11,10927.09353,0.004968248906039935,0.004968248906039935,0.08248688828695942,0.09270935300000001
7,2022-06-07 07:57:49,10969.102193,0.0038444498424642405,0.008831798932228324,0.08664845483410383,0.09691021930000006
8,2022-06-07 08:43:31,10991.102162000001,0.0020056307811627313,0.010855143041182572,0.08882787042342202,0.0991102162000001
9,2022-06-07 08:55:33,10996.352226,0.00047766492592081483,0.011337993088200013,0.08934796530748834,0.09963522260000009
10,2022-06-07 09:08:08,11024.821914000002,0.002589012011882152,0.013956359300378153,0.09216830027478881,0.10248219140000019
11,2022-06-07 09:19:51,11024.821914000002,0.0,0.013956359300378153,0.09216830027478881,0.10248219140000019
12,2022-06-07 09:32:09,11022.901738000002,-0.00017416843691246114,0.013779760106181356,0.09197807902908461,0.10229017380000023
13,2022-06-07 09:47:54,11022.901738000002,0.0,0.013779760106181356,0.09197807902908461,0.10229017380000023
14,2022-06-07 10:02:02,11028.842040000001,0.0005389054662004884,0.014326091560425996,0.0925665519848445,0.10288420400000013
15,2022-06-07 10:16:49,11047.573790000002,0.001698433065961368,0.01604885653399958,0.09442220314349896,0.10475737900000022
16,2022-06-07 10:31:29,11054.174193000003,0.0005974527190734762,0.016655897686047316,0.09507606866458143,0.10541741930000026
17,2022-06-07 10:46:10,11093.774488000003,0.0035823838405836654,0.020297949345351892,0.0989990514771753,0.10937744880000028
18,2022-06-07 11:00:49,11073.089608000004,-0.0018645484476337122,0.018395554387776156,0.09694991450179262,0.10730896080000038
19,2022-06-07 11:12:40,11068.949271000003,-0.00037390982522253295,0.01801476628402762,0.09653975415098338,0.10689492710000031
20,2022-06-07 11:25:47,11068.949271000003,0.0,0.01801476628402762,0.09653975415098338,0.10689492710000031
21,2022-06-09 08:45:57,10872.298061000003,-0.017766023240816057,0.0,0.07705860339425828,0.08722980610000032
22,2022-06-09 08:58:25,10872.298061000003,0.0,0.0,0.07705860339425828,0.08722980610000032
23,2022-06-09 09:10:49,10879.338356000002,0.0006475443333597618,0.0006475443333597618,0.07775604658958261,0.0879338356000002
24,2022-06-09 09:26:35,10881.133960000003,0.00016504716934468154,0.0008126983780636896,0.07793392717431634,0.08811339600000029
25,2022-06-09 10:27:30,10881.133960000003,0.0,0.0008126983780636896,0.07793392717431634,0.08811339600000029
26,2022-06-09 10:39:51,10923.023888000003,0.0038497759658130794,0.004665603050560094,0.08208373129988654,0.09230238880000033
27,2022-06-09 10:51:34,10882.880098000003,-0.003675153548286378,0.0009733026946675542,0.07810690743525679,0.08828800980000033
28,2022-06-09 11:03:17,10855.440567000003,-0.002521348278480315,-0.001550499618886401,0.07538862444017717,0.08554405670000033
29,2022-06-09 11:15:01,10853.868821000004,-0.00014478878036306054,-0.0016950639043006896,0.07523292023282817,0.08538688210000037
30,2022-06-13 06:55:50,10853.868821000004,0.0,0.0,0.0,0.08538688210000037
31,2022-06-13 07:08:56,10878.593891000004,0.0022779960222259633,0.0022779960222259633,0.0022779960222259633,0.0878593891000004
32,2022-06-13 07:21:05,10900.810876000005,0.002042266236115434,0.004324914532703595,0.004324914532703595,0.0900810876000005
33,2022-06-13 07:35:37,10927.156333000004,0.002416834609799851,0.00675220174563051,0.00675220174563051,0.09271563330000045
34,2022-06-13 07:50:24,10927.156333000004,0.0,0.00675220174563051,0.00675220174563051,0.09271563330000045
35,2022-06-13 08:03:53,10927.156333000004,0.0,0.00675220174563051,0.00675220174563051,0.09271563330000045
36,2022-06-13 08:17:23,10940.548602000004,0.0012255950763288065,0.00798607228717314,0.00798607228717314,0.09405486020000044
37,2022-06-13 08:30:06,10988.548480000005,0.0043873373946920575,0.012408447275447427,0.012408447275447427,0.0988548480000005
38,2022-06-13 08:41:50,11002.798482000006,0.0012968047623338756,0.013721343371301271,0.013721343371301271,0.10027984820000056
39,2022-06-13 08:57:37,11002.798482000006,0.0,0.013721343371301271,0.013721343371301271,0.10027984820000056
40,2022-06-13 09:10:00,10945.587673000005,-0.005199659804148372,0.008450337249566226,0.008450337249566226,0.09455876730000054
41,2022-06-13 09:23:48,10916.007891000005,-0.0027024389081425513,0.005725061821253521,0.005725061821253521,0.09160078910000047
42,2022-06-13 09:36:34,10904.452127000006,-0.0010586071497370641,0.004660394080139791,0.004660394080139791,0.0904452127000006
43,2022-06-13 09:50:21,10968.002096000006,0.005827891971082763,0.010515446324464281,0.010515446324464281,0.09680020960000056
44,2022-06-13 10:02:11,10951.682135000005,-0.0014879611489090519,0.009011838599960988,0.009011838599960988,0.09516821350000046
45,2022-06-13 10:13:55,10928.802174000004,-0.002089173217224729,0.006903838090895269,0.006903838090895269,0.0928802174000004
46,2022-06-13 10:26:24,10913.851823000003,-0.001367977090441688,0.0055264167081091175,0.0055264167081091175,0.09138518230000027
47,2022-06-13 10:38:39,10913.851823000003,0.0,0.0055264167081091175,0.0055264167081091175,0.09138518230000027
