date,action,company,yahoo_ticker,currency,num_shares,stock_price_usd,trading_costs_usd,total_usd,total_shares_held,return
"06/13/2022, 07:35:37",SELL,CVX,CVX,USD,58,169.98,0,-9858.84,-58,
"06/13/2022, 07:35:37",BUY,WAB,WAB,USD,115,86.45999908,0,9942.899895,115,
"06/13/2022, 07:50:24",SELL,WAB,WAB,USD,115,86.45999908,0,-9942.899895,-115,
"06/13/2022, 07:50:24",BUY,FIS,FIS,USD,104,95.94499969,0,9978.279968,104,
"06/13/2022, 08:03:53",SELL,FIS,FIS,USD,104,95.94499969,0,-9978.279968,-104,
"06/13/2022, 08:03:53",BUY,FBHS,FBHS,USD,160,62.25999832,0,9961.599731,160,
"06/13/2022, 08:17:23",SELL,FBHS,FBHS,USD,160,62.3437,0,-9974.992,-160,
"06/13/2022, 08:17:23",BUY,FBHS,FBHS,USD,160,62.20000076,0,9952.000122,160,
"06/13/2022, 08:30:06",SELL,FBHS,FBHS,USD,160,62.5,0,-10000,-160,
"06/13/2022, 08:30:06",BUY,WAB,WAB,USD,115,86.25108694,0,9918.874998,115,
"06/13/2022, 08:41:50",SELL,WAB,WAB,USD,115,86.375,0,-9933.125,-115,
"06/13/2022, 08:41:50",BUY,MTD,MTD,USD,8,1165.300049,0,9322.400391,8,
"06/13/2022, 08:57:37",SELL,MTD,MTD,USD,8,1165.300049,0,-9322.400391,-8,
"06/13/2022, 08:57:37",BUY,FISV,FISV,USD,110,90.46009827,0,9950.610809,110,
"06/13/2022, 09:10:00",SELL,FISV,FISV,USD,110,89.94,0,-9893.4,-110,
"06/13/2022, 09:10:00",BUY,IRM,IRM,USD,204,48.86999893,0,9969.479782,204,
"06/13/2022, 09:23:48",SELL,IRM,IRM,USD,204,48.725,0,-9939.9,-204,
"06/13/2022, 09:23:48",BUY,FBHS,FBHS,USD,160,62.24222353,0,9958.755764,160,
"06/13/2022, 09:36:34",SELL,FBHS,FBHS,USD,160,62.17,0,-9947.2,-160,
"06/13/2022, 09:36:34",BUY,IRM,IRM,USD,205,48.59000015,0,9960.950031,205,
"06/13/2022, 09:50:21",SELL,IRM,IRM,USD,205,48.9,0,-10024.5,-205,
"06/13/2022, 09:50:21",BUY,MTD,MTD,USD,8,1177.369995,0,9418.959961,8,
"06/13/2022, 10:02:11",SELL,MTD,MTD,USD,8,1175.33,0,-9402.64,-8,
"06/13/2022, 10:02:11",BUY,MTD,MTD,USD,8,1177.369995,0,9418.959961,8,
"06/13/2022, 10:13:55",SELL,MTD,MTD,USD,8,1174.51,0,-9396.08,-8,
"06/13/2022, 10:13:55",BUY,WAB,WAB,USD,115,86.30000305,0,9924.500351,115,
"06/13/2022, 10:26:24",SELL,WAB,WAB,USD,115,86.17,0,-9909.55,-115,
"06/13/2022, 10:26:24",BUY,IRM,IRM,USD,205,48.60499954,0,9964.024906,205,
"06/13/2022, 10:38:39",SELL,IRM,IRM,USD,205,48.60499954,0,-9964.024906,-205,
"06/13/2022, 10:38:39",BUY,SYK,SYK,USD,48,207.4801025,0,9959.044922,48,
"06/13/2022, 10:51:02",SELL,SYK,SYK,USD,48,206.02,0,-9888.96,-48,
"06/13/2022, 10:51:02",BUY,WAB,WAB,USD,117,85.41500092,0,9993.555107,117,
"06/13/2022, 11:03:02",SELL,WAB,WAB,USD,117,85.89,0,-10049.13,-117,
"06/13/2022, 11:03:02",BUY,AAL,AAL,USD,750,13.31750011,0,9988.125086,750,
