dt,profit_sum,return,daily_return,weekly_return,monthly_return
2022-07-15 11:14:07,28.534255000014127,2.9598309489436856e-08,-0.0006622427313956476,-0.018081860272249072,0.02619628258015939
2022-07-15 11:25:51,45.30335800001467,-0.0018925965502304724,0.0010087888827281614,-0.01643995667956245,0.02791222538129471
2022-07-15 11:37:38,17.703202000014244,-0.0031157887771204604,-0.0017415510269702375,-0.019142354970938292,0.02508796644517834
2022-07-15 11:50:00,17.703202000014244,0.0,-0.0017415510269702375,-0.019142354970938292,0.02508796644517834
2022-07-15 12:02:24,17.703202000014244,0.0,-0.0017415510269702375,-0.019142354970938292,0.02508796644517834
2022-07-15 12:14:31,1.9080150000145295,0.0015825753767808798,-0.0033155324634247226,-0.020688900083247096,0.02347168217372793
2022-07-15 12:26:16,-10.18897899998501,-0.0012234900214472327,-0.0045209910624841015,-0.02187334613914555,0.02223382527883776
2022-07-15 12:38:40,-10.18897899998501,0.0,-0.0045209910624841015,-0.02187334613914555,0.02223382527883776
2022-07-15 12:50:46,2.060807000015302,-0.001227402796728568,-0.003300306827182494,-0.020673939847524588,0.023487317019102328
2022-07-15 13:02:33,-20.359609999985878,-0.002267267321446657,-0.005534488679893136,-0.022869177316209046,0.021193088571128782
2022-07-15 13:16:00,-20.359609999985878,0.0,-0.005534488679893136,-0.022869177316209046,0.021193088571128782
2022-07-15 13:27:49,2.531803000013497,-0.0022939571088828347,-0.003253372342605729,-0.02062782348551435,0.023535512930091557
2022-07-15 13:39:38,7.956031000013354,0.000543863688837737,-0.0027128510952728188,-0.020096724151176082,0.02409056140157599
2022-07-15 13:51:24,14.266722000013942,0.0006319197777308055,-0.0020839943121777936,-0.01947882907203931,0.02473631954329902
2022-07-15 14:03:47,14.266722000013942,0.0,-0.0020839943121777936,-0.01947882907203931,0.02473631954329902
2022-07-15 14:16:40,12.671746000013627,-0.00015958889284285358,-0.0022429327670115966,-0.019634997045045923,0.024573109407063125
2022-07-15 14:28:25,14.426585000012892,-0.00017554564890277468,-0.0020680640547917043,-0.019463176497537687,0.024752677947443413
2022-07-15 14:41:01,32.46701500001382,-0.002038825728307231,-0.0002703454253346074,-0.017696794191304085,0.026598712645177863
2022-07-15 14:53:22,32.46701500001382,0.0,-0.0002703454253346074,-0.017696794191304085,0.026598712645177863
2022-07-18 10:14:16,-52.933223999986694,-0.008584560573539337,0.0,0.0,0.017859907395591
2022-07-18 10:26:07,-55.27312899998742,-0.0002343107106237598,-0.00023523567828521866,-0.00023523567828521866,0.017620470429875468
2022-07-18 10:37:53,-67.53137299998798,-0.0012261856540829136,-0.001467583291510947,-0.001467583291510947,0.01636611320239835
2022-07-18 10:49:33,-89.37132499998825,-0.002185105363751033,-0.0036632006018015415,-0.0036632006018015415,0.014131282370269808
2022-07-18 11:01:57,-83.21184199998879,0.0006167087801097457,-0.003043974538610645,-0.003043974538610645,0.014761567753606231
2022-07-18 11:13:50,-96.1054409999897,-0.001455674674548217,-0.004340195755412806,-0.004340195755412806,0.013442196145907782
2022-07-18 11:26:40,-89.38165599998956,0.0006723933970547972,-0.0036642391994337843,-0.0036642391994337843,0.014130225223380033
2022-07-18 11:39:27,-88.54157799998848,9.492515272386143e-05,-0.0035797843527016803,-0.0035797843527016803,0.014216188425853881
2022-07-18 11:51:22,-106.04168499998832,0.0017577889096898117,-0.005339107718482594,-0.005339107718482594,0.01242544370768122
2022-07-18 12:03:50,-149.99104799998804,-0.004395503143615236,-0.009757431631421374,-0.009757431631421374,0.007928208938813628
2022-07-18 12:16:20,-176.2437379999874,-0.0026279986799701673,-0.012396670976163609,-0.012396670976163609,0.005241833023779497
2022-07-18 12:52:41,-176.2437379999874,0.0,-0.012396670976163609,-0.012396670976163609,0.005241833023779497
2022-07-18 13:04:38,-264.99070299998766,-0.008898493991668898,-0.021318594091642044,-0.021318594091642044,-0.0038394348123319665
2022-07-18 13:17:02,-264.99070299998766,0.0,-0.021318594091642044,-0.021318594091642044,-0.0038394348123319665
